BrandNewCarPrice,CarName,URL,UsedCarPrice
261～295,オーラ,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001362083/,253.0
202～244,ノート e-POWER,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000920632/,169～298
299～380,セレナ e-POWER,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001024839/,195～419
275～286,キックス e-POWER,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001268115/,195～312
660～790,アリア,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001273294/,
177～308,ノート e-POWER,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000920632/,68～273
255～435,208,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000419518/,218～398
444～717,モデル3,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000868351/,389～729
332～499,リーフ,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000099959/,162～432
306～477,SUV 2008,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000597596/,269～438
242～495,MX-30,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001276992/,183～481
273～456,リーフ,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000099959/,19～197
,モデルY,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001215150/,
1169～1799,モデルS,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000625966/,385～1590
640～790,EQA,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001345988/,768.0
226～398,i-MiEV,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000100250/,29～199
710～860,MIRAI (ミライ),https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000716023/,580～698
520～732,DS 7 CROSSBACK,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001009568/,298～629
199～368,208,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000419518/,20～249
1269～1499,モデルX,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000625968/,678～1200
